reviewer_orcid,reviewer_title_doi,reviewer_title,reviewer_paper_attribure
0000-0002-9614-0504,,Data Conflict Resolution Using Trust Mappings,values trusts belief conflicting algorithms database user problems examples solution predicates data times logic updated alice constraint map resolutions bob figure computation definition jar possible stable tion order called hard
0000-0002-3163-8846,,DeepSea: Progressive Workload-Aware Partitioning of Materialized Views in Scalable Data Analytics,queried view partitioned fragmentation selections base workloads materi distribution accesses costs adaptiveness figure algorithms intermedi storage indexing online relation sizes overlap approaches cached data times deepsea stat databases space answering
0000-0002-7377-6868,,Privacy Preserving Similarity Evaluation of Time Series Data,secure distances database data protocol times computations parties information encryptions similar query problems privacy series section values ings dynamic difference tion recent included uses papers effi enc applications function matrix
0000-0002-7156-4140,,Hadoop's Adolescence An analysis of Hadoop usage in scientific workloads,users hadoop jobs data applications mapreduce workload result tool tions level language pipelines analysis executions mining sections includes times table structures dataset performed ing learning web uses figure
0000-0002-6340-7807,,Truss Decomposition in Massive Networks,algorithm edges trussness sections network subgraph iteration removal comput steps graphs times main required list triangle memory differences definition complexity support sizes efficiently processed classes largely vertices lower important space
0000-0002-8604-9248,,Understanding Computer Usage Evolution ,segmentations users times usage data behaviors modeling errors proto informed applications base processes orion approach compute algorithms includes differences level provides series given cluster record approximating problems util issue evolution
0000-0002-9882-5371,,Robust Estimation of Resource Consumption for SQL Queries using Statistical Techniques,modeled queried estimating operations data feature train uses resources approach difference plan executing linear regression scaling function result cpu times tree required bases technique error ing statistics high sets sql
0000-0002-0233-9871,,Finding Socio-Textual Associations Among Locations,located associating based postings users supports approaches keyword algorithm frequently popular set difference definition problems pois socially queries result traveling photo spatial objects identifies given ranked indexed pattern mined
0000-0003-0488-5283,,Efficient Reachability Query Evaluation in Large Spatiotemporal Contact Datasets,timely queries reachable process contacting graphs object networks indexing trajectories path reachgrid disk bases approaches intervals efficiently works positions grids data studied accordingly item large tions analysis seeds traversing temporal
0000-0003-1468-2455,,Searchlight: Context-Aware Predictive Continuous Querying of Moving Objects in Symbolic Space,queries timely object management located algorithm searchlight processed patches continuously lid fig read movements stream allowed oid lines results moves updates keyword data weight symbol ranging modeling selects based
0000-0001-8571-4931,,Monitoring MaxRS in Spatial Data Streams,query algorithm objective rectangles given examples monitors weight time maxrs continuous lines updated problems generally compute spatial locations base graphs figure efficiency definitely let edge spaces considers stream optimized points
0000-0002-4484-901X,,XORing Elephants: Novel Erasure Codes for Big Data,blocks repairing coded data local parities storage files cluster reliability hdfs failure mapreduce xorbas replicated node distance decoder theoretical tions requiring higher recent raiding job distribute implementing section sized erasures
0000-0001-6854-0204,,On Differentially Private Frequent Itemset Mining,privacy frequently transaction algorithms private result sections itemsets tion theorem database differential cardinal utilizes truncate mining datasets definition item noise distribution guaranteeing little lemma function properties recent ing local approximately
0000-0003-4191-2738,,Boosting SimRank with Semantics,similar semantically node simrank pairs measures graphs semsim tions networks time authors edges values scores iteration model lin informative weighting yielding sections follows compute commonality intuitively effectiveness ing example path
0000-0002-8730-938X,,Incremental and Accuracy-Aware Personalized PageRank through Scheduled Approximation,tour node computes ppvs graphs iter hubs queries approximate works partitions person increments efficiently bases fastppv time reachabilities pagerank tioning processed principle accuracy example sets surfer scenario sect specifically estimated
0000-0002-6303-2646,,"DBToaster: Higher-order Delta Processing for Dynamic, Frequently Fresh Views",query viewed data deltas related aggregations uses update process generate multiplicity trigger ivm incrementalization perform orders examples materialization nesting joined sql bases tuple works optimized sum considers techniques transformation supporting
0000-0003-3365-7511,,Stubby: A Transformation-based Optimizer for MapReduce Workflows,workflow stubby job plans annotations mapreduce optimizers perform transformed data figuration functionality base generates packing map tions costing information flow executing partitions dataset interface large given like differently require
0000-0002-5426-9940,,A Highly Scalable Labelling Approach for Exact Distance Queries in Complex Networks,labelled distances network landmark algorithms graphs property query parallelism methods times covered follows large bfs constructed naturally vertex given prune highway orders vertices unvisited minimality example high space let scale
0000-0003-2191-7304,,Adding Logical Operators to Tree Pattern Queries on Graph-Structured Data,query node data graphs structure trees match predicate studies conjunction algorithm work generated gtpq element process include indexing logic evaluate support largely defining operation time joins edge pro problem backbone
0000-0002-1319-3484,,ERA: Efficient Serial and Parallel Suffix Tree Construction for Very Long Strings,algorithm trees era memory string suffixes sub edges nodes construct section approach group table optimized prefixes methods data general base core partitioning includes symbol required exist proposition figures times indexed
0000-0001-9239-7735,,Schema-As-You-Go: On Probabilistic Tagging and Querying of Wide Tables,tagged user queried semantically values data table car difference instanti attributes approaches figure probability schema definition mediated probabilistically score associ based cluster model dynamically answers given confidence ford specifications versa
0000-0002-3878-5988,,Efficient Record Linkage Using a Compact Hamming Space,blocks data records distance spaces large vector strings number operation match similarities embedded attribute methods efficiency metrics hashed pair specifies ham entity ing thresholds guaranteed common sizes mechanisms setting step
0000-0001-9405-9617,,DDE: From Dewey to a Fully Dynamic XML Labeling Scheme,orders schemes dde dewey nodes updating xml numbers following insert dynamic com processes queries costs document encoded given approach neg theorem efficiently example addition based property supported level definition
0000-0003-2194-4417,,Querying RDF Data Using A Multigraph-based Approach,queries rdf vertex indexing structurally attributes edges amber multigraphs information data sparql vertices section containment answer homomorphic wasbornin matches representation problems neighbourhood map candidates predicates subgraph synopses org dictionary set
0000-0003-4559-9056,,"REX: Recursive, Delta-Based Data-Centric Computation",querying operation data deltas stateful sql iterates execution aggregations rex mapreduce recursion relational platform valued supports ing computes programming tuples clustered analysis user section distribution models updating generalize processes base
0000-0001-6284-9251,,HCS: Hierarchical Cut Selection for Efficiently Processing Queries on Data Columns using Hierarchical Bitmap,data bitmaps query range node cuts inclusive memory algorithm databases hierarchies costs compressed specif operation hierarchically difference given column ing sets plan resultant exclusive selects workload values efficient performed execution
0000-0003-1483-8229,,Answering Table Queries on the Web using Column Keywords,tables headers columns matched query web similarity row relevance exploring text score labels variable based method keyword models structured search sets edges second token context tags specifically single fields approach
0000-0003-2163-2261,,OLTP on Hardware Islands,databases share perform hardware systems transactional core data oltp configuration deployments workload communicate execute figuration difference processors instance tions sections work cpus island single significant machines sockets multicores optimally
0000-0002-3160-4355,,Bed-Tree: An All-Purpose Index Structure for String Similarity Search Based on Edit Distance,strings algorithm edit querying distances based similar trees property indexes joining efficiency searches given problem tables orders databases ranges performing operator data values threshold measures differ definitions functionality nodes section
0000-0002-0871-6658,,Scalable and Dynamic Regeneration of Big Data Volumes,data regenerate databases queries hydra t_view partition variable processing attribute relation keys technique algorithm constraint figure commons complex ccs generates clients sizes formulating workloads regions similar corresponding block summary based
0000-0001-9999-0574,,SQL Server Column Store Indexes,indexed columns queries row compress new data joined table operator storing performing cpus process storage sql servers batch time requirements optimizations value base containing databases encode segment supports automatically generated
0000-0002-7312-6312,http://dx.doi.org/10.1145/2588555.2610493,Towards Indexing Functions: Answering Scalar Product Queries,querying indexes time functional point searching works problems tion interval given complexity objective computed applicable require threshold scalar multiple based sets intersect ordered spaces planar parameter data axes attribute processing
0000-0002-9992-6166,,Monitoring Path Nearest Neighbor in Road Networks,queries searches paths distance node algorithms phases nearest expansions trees monitor network detour users pnn objects neighboring bound bne figured main kpnn results spatial updating routes candidate verification inequality
0000-0002-3460-0608,,SpongeFiles: Mitigating Data Skew in MapReduce Using Distributed Memory,memories data spills task skewness spongefile chunk remote disk jobs file large hadoop reduces likely processes allocator pig mapreduce sized single local performs sponge queries node working inputs accessed avoid
0000-0001-7816-779X,,Scalable Architecture and Query Optimization for Transaction-time DBs with Evolving Schemas,schema tables temporally queried databases time sql empno performed coalesced data rewrit archives aim xml bases required information manager providing relations optimizer modeling achieve xquery supports ing tions stores approach
0000-0002-9785-3581,,How to Stop Under-Utilization and Love Multicores,hardware data memory databases communicate researcher transactional oltp workload parallel pages queries systems processing architecture caches tions scalability ailamaki exploits multicore optimizing worked recently ing numa analytics modern uniform schedule
0000-0002-2627-0397,,Efficient Implementation of Generalized Quantification in Relational Query Languages,queries expression sets relation approaches gqs language quantified generator likely selections useful operator based property algebra tion supporting optimizers logic numbers sql joins second given definitions quantification implementing defines attributes
0000-0003-2267-6020,,Sharing Data and Work Across Concurrent Analytical Queries,share query gqp operations data performing scanned concurrency bases joined cjoin work tables differently relation sections evaluating increases figure tuples plan result case packet executes common ing technique pipeline dimension
0000-0002-7312-6312,,NeMa: Fast Graph Search with Label Similarity,matchings graphs nodes queries bases subgraphs problem labeling similar functions network nema data techniques costs models given movie filtering edge structures log precision target exact algorithms semantic approximation ness propagation
0000-0002-2744-7836,,Dictionary-based Order-preserving String Compression for Main Memory Column Stores,indexes queries strings new data dictionaries encoded coded efficient attribute value leaf memory operation lookups columns compressing leaves decoding difference preserving milk caches stored product integer performance generated requirement
0000-0003-3296-7753,,Functional Geometric Monitoring for Distributed Streams,stream functions monitored safeness distribution fgm communicates query sites problems convexity results data coordinator performs protocols local vectors real assumption proof technique update values condition case monotone importance pointwise cost
0000-0003-4147-9372,,Answering Top-k Representative Queries on Graph Databases,graphs setting example structural relevance query given disc objects represents computation database models information theorem indexing distances provides distributions diversity neighborhood algorithm cascade bugs spaces molecule functions times answer orderings
0000-0002-2489-5705,,Efficient Verification of Web-Content Searching Through Authenticated Web Crawlers,query authenticate searched web data document proofs crawler based results term digests verification setting users databases verifies updates completely property relational keywords cryptographically efficiency lists servers tion engines outsource structures
0000-0002-3937-7839,,On Historical Diagnosis of Sensor Streams,sketch sensors times querying historical node value storage levels horizon stream signals data component aggregate estimates large method number result communicated lemma different snapshot effects followed recently given let specific
0000-0003-1828-290X,,A Formal Approach to Finding Explanations for Database Queries,explanation databases causal query data relational key authored interventions affiliation definitions tions example user edu com works joins complex recursion dataset cubes papers year figure operator causes publications cascade value
0000-0002-4682-7068,,Secondary-Storage Confidence Computation for Conjunctive Queries with Inequalities,query data inequal variable database independence obdd figure boolean nodes event tuple edges called compute relate classes domid representing generation ckey probabilistic trees subgoal order confidences examples considers set graphs
0000-0002-8835-430X,,Computing Immutable Regions for Subspace Top-k Queries,querying tuple results weighted figure region irj algorithm process immutable considering scanning scoring phase data preferred computed dimensions techniques remain vectors non decision users candidate indices lists cases datasets
0000-0002-2680-9145,,Optimizing Reformulation-based Query Answering in RDF,querying rdfs reformulate triple saturations answers constraint evaluate sparql relations based performing techniques working typing tions engines results modeling graphs literal ucqs entailed examples reason writtenby databases setting algorithm books
0000-0002-1548-6803,,LINVIEW: Incremental View Maintenance for Complex Analytical Queries,data incrementally matrix program computed iter model updated delta linear changing tions evaluates process analytically expresses section efficient operations analysis example datasets represented like matrices provides techniques differences generates high
0000-0001-9600-4150,,CrowdDB: Answering Queries with Crowdsourcing,crowddb workers query hits data crowds crowdsource amt sql humans keys assignments crowdsql requester task tables section requirements people languages result works designed answers processes based generates user difference manages
0000-0001-8728-6264,,The Copernicus App Lab project: Easy Access to Copernicus Data,data copernicus service cloud projects provid metadata rdfs opendap dataset https processes accessed developments opening queries spatially application lab relational information mapped area available geospatial production analytical european ontop standards
0000-0003-4876-2859,,AutoPlait: Automatic Mining of Co-evolving Time Sequences,modeled regimes sequence pattern times segmentations states data transitions methods automatically tion algorithms approach levels given costs parameters requiring work autoplait follow code hmms included value examples motions definition point
0000-0003-0834-3959,,MISO: Souping Up Big Data Query Processing with a Multistore System,querying data stored view multistore miso execute working process times designs rdbms plans performed materializations ing online systems figurations base approaches provides improved workloads physical transfers big unit loaded
0000-0001-6952-6957,,Advances in Flash Memory SSD Technology for Enterprise Database Applications,writes disks ssds flash throughput read transactions pages database improving buffering drives commands data increases storage performed logging design queue class accessing multiple channel process processors largely small operation providing
0000-0002-6650-1831,,Efficient Querying and Maintenance of Network Provenance at Internet-Scale,networked provenance distribution tuple derivable rule exspan query data base efficiency tions management working node program graph declarative table relation given trusted example domains communication represented representations useful section model
0000-0001-6859-1941,,Attendance Maximization for Successful Social Event Planning,assigned events algorithm organizer update times social example follows score selects ses problem based figure scheme schedule performs constraint user interval incremental numbers approximation attending marketing numeric includes commons proposed
0000-0001-5091-1222,,Partial Join Order Optimization in the ParAccel Analytic Database,queries volt optimizations joined table expressions performed rules grouping databases ordered postgres base data framework instances class padb algorithmic engine providence memory new times references applicability example nodes required physical
0000-0002-4499-7784,,DynFD: Functional Dependency Discovery in Dynamic Datasets,fds data algorithm dynfd changed validates covered related nonfd record non indexes dependencies inserted efficient operating tuple function section minimality new deleted updating table dataset represents processes database setting case
0000-0002-2091-6898,,Interactive Data Exploration Using Semantic Windows,window data queries functions searching exploring online user resulting benefits utilities section cell value algorithm sql times based ing condition interactively prefetch new pruning defin tions framework processed initially generated
0000-0002-9172-2265,,Direction-Preserving Trajectory Simplification,trajectories positive segments directions simplifications errors algorithms information line based consider preserve dpts time tion let distances examples problem following exists study experimentally measured bound ing section values ideas given
0000-0001-5729-6461,,Holistic Data Profiling: Simultaneous Discovery of Various Metadata,algorithm prune ucc data fds ind muds discovery differs sections profiling containing uniqueness fun spider lattices plis attributes depend sets datasets subsets figure rule candidate holistic value duplicates information
0000-0002-5152-3093,,Conflict-Aware Event-Participant Arrangement,events conflicting problems paired flows arrange geacc user approximate matched example capacities algorithm definition attribute iterations time costs sim maximum exists result participants graph proof arcs organizers follows path
0000-0003-1953-0434,,Query by Output,querying data ieq differ relate databases examples tuple talos selects uses gener labels problem based nodes specifically qbos classification classes ing joining given year approaches batting user setting trees deriving
0000-0003-0337-0261,,Cohesive Keyword Search on Tree Data,keywords query cohesively lcas resulting data sizes trees terms author stacks algorithm multiple partitions combinations smith entries lattices cohesivelca containing popped lines article nodes figures searching davis relationships pushed john
0000-0002-9369-2012,,Joint Unsupervised Structure Discovery and Information Extraction,structuring labeling record methods value cups texts extract attribute steps informally featur section data require sequences domain relations user inputs base candidate training case token automatic tions differently recipes processing
0000-0001-6265-9554,,Redoop: Supporting Recurring Queries in Hadoop,large data query redoop processes windows cached pane executing file hadoop tasks inputs based timely sections partitions recur new example optimizer multiple load performed ings output generates analyt systems keys
0000-0003-3663-8615,,A Tale of Two Graphs: Property Graphs as RDF in Oracle,rdfs graph edge properties queries keys bases perform sparql database triples nodes quad related following storage data modeled differences table uses section standardization named labels allows vertex rel oracle distinct
0000-0001-8374-140X,,Top-K Nearest Keyword Search on Large Graphs,node trees graph distances sections results queries network example keywords indexing given answers intervals contained bases large bound weighted tioned pmi structures precompute nearest partitions search algorithm estimating edges definition
0000-0002-8329-9145,http://dx.doi.org/10.1145/2588555.2588564.,The PH-Tree - A Space-Efficient Storage Structure and Multi-Dimensional Index,trees nodes data spaces bits requirement stores entry value storage query efficiently points dimensionality structures index prefix splits representation hypercubes array perform searches cases allow binary memory dimension share differ
0000-0002-9315-9883,,"Similarity Search and Locality Sensitive Hashing using Ternary Content Addressable Memories
",tcams searching hashed similar lsh data problems bounded cluster matching space application point tions theorem section base queries memories ternary generators neighbors probability nearest stream lookups entry high times algorithm
0000-0002-7799-9794,,"Taxi Queue, Passenger Queue or No Queue? A Queue Detection and Analysis System using Taxi State Transition",taxis queues states time algorithms wait passengers queuing pickup events sets mdt booked transitions location arriv logs modules jobs service firstly high information averaging driver large speeds table extraction free
0000-0003-4147-9372,,Answering Top-k Queries Over a Mixture of Attractive and Repulsive Dimensions,projecting point indexes scores region line similar dimension querying time functions resultant structure claim compute data subproblem technique based costs approach lower prune propose distances algorithm list follow consider
0000-0002-0765-4889,,Finding Contrast Patterns for Mixed Streaming Data,data algorithms itemsets differ pattern contrasting support figure sample windows bins group frequent finds current times spaces sets techniques features databases new computed main mining identifying users dataset potentially updates
0000-0001-5178-8326,,Processing Analytical Queries over Encrypted Data,query monomi encrypts data servers executions databases operator required performed clients scheme secure designs efficiency select sql column keys sum processes having computable order_id join information plaintext exprs workload
0000-0003-1395-261X,,A Temporal Context-Aware Model for User Behavior Modeling in Social Media Systems,topic users modeled items timely temporal based tcam generating social rate data recommender latent medias distributions context new probability behavioral figure definition specifically given differences recently estimations tions ing site
0000-0001-7248-0048,,Resource-oriented Approximation for Frequent Itemset Mining from Bursty Data Streams,algorithm data memory stream mined times transactional itemsets bursty approximated parameter items ave entry theorem table arrive support propose storing resources works frequent errors explosion method large required oriented tions
0000-0003-2305-0273,,Efficient and Flexible Index Access in MapReduce,indexed efind mapreduce accessed data indices computes users reduces base operator indexoperators classes inputs keys indexaccessors resulting figure iconf join average lookups map analysis strategy optimizing outputs section events string
0000-0003-2261-6407,,Entity Resolution with Crowd Errors,clusterings question record corollaries algorithms human entities sets phc error answered evidence fig asking probabilities resulting selects definitely case example theorems approach different assumes scc yes work provides connects pair
0000-0002-9634-7265,,IS-LABEL: an Independent-Set based Labeling Scheme for Point-to-Point Distance Querying,graphs vertex labeled followed indexing distances queries levels sections networking paths definition computed hierarchies example theorem processing given bases lemmas sets main type search simple ver larger operations handling
0000-0002-6702-8425,,Optimizing I/O-Intensive Transactions in Highly Interactive Applications,transaction scheduled times deadlines requested traqios level performing databases policy data priority slack accessed edf sla sstf disk application tioned section tardiness provides processed specifically assign utilization figure serve interactively
0000-0002-9205-9012,,Performance Prediction for Concurrent Database Workloads,queries bals predicted latencies model data execut accessed resources workload averages performing concurrency tions time readings level variables tables vari databases change interact base metrics indicated require values requesting disk
0000-0003-2671-7483,,Sampling Based Algorithms for Quantile Computation in Sensor Networks,node algorithm quantiles sampled data communication aggregated errors size totally uses network ranks trees studies simply setting summaries previous tion problems sensors estimates approaches power sum simple works base
0000-0003-3727-6003,,What Can Programming Languages Say,data map databases lenses schemas relations tion exchanging inversions lens problems examples ing operate language informed existential researcher specifying instances like based semantically works commonality moving target states new field
0000-0002-3852-7196,,Reachability Queries in Very Large Graphs: A Fast Refined Online Search Approach,graph reachable indexed vertex approaches queried figures algorithm feline intervals searching orderings line set vertices method called grail position compressed representing ferrari scarab paths labels space times pruned related works
0000-0002-6221-8254,,Indexing for Interactive Exploration of Big Data Series,data indexable queries leaf times added isax buffering adapting series costs ing initially memory processed file sets works main single relational figuring nodes point performance partial representations similar technique
0000-0002-9582-869X,,Interactive Inference of Join Queries,querying joining users infer tuple consists data example interacting databases given related problems predicates information sets instance follows cpsq ings presenting certpsq psq schema simple equijoin output lets hotels considered
0000-0003-0490-4034,,Peta-Scale Data Warehousing at Yahoo!,data everest business storage analytics queries columns application partition provides transactions processes managing sql node loading architectures base hardware perform warehouse high figure events yahoo cluster values requires executes
0000-0003-3550-4455,,Memory Efficient Minimum Substring Partitioning,partitions mer sequencers figure memory substrings genome msp sizes datasets graphs hash strings large read short minimum bases overlap approach called given break multiple disk definition lengths generating assembling problem
0000-0002-9953-8585,,Parallelizing Extensible Query Optimizers,optimize queries parallelize tasks schedul jobs based depend extensions plan erlang figure joins tion considering searching states group ing exist runs processed cpu alternatives actual completeness runnable requirement graph languages
0000-0003-4191-2738,,Interactive Rule Refinement for Fraud Detection,rules transaction captured algorithm rudolf section sets time frauds fraudulent modification news legitimate detect cards cost type problem semantically offline generalized domains tuple specialization relations online possible learn unlabeled attributes
0000-0003-4726-4700,,Expressive and Flexible Access to Web-Extracted Data: A Keyword-based Structured Query Language,querying entity information keywords relation base document structure concept data semantics knowledge disambiguating searching expression follows denotes problems similarities languages tions schemas generalizing common set ing result model extract lines
0000-0001-7091-3073,,Real Time Personalized Search on Social Networks,socially distances record queries time searching cubes partitions network user dimension efficiency index pruned scores algorithms snp data let listed real relevant solutions result document large vertex world work computes
0000-0002-9990-0046,,Compensation-Aware Data Types in RDBMS,transactions operator data compensated columns specifically databases updated business concurrency value application type capacity semantically related logical locking section tables long defined constraint validations manage states traditional performing follow escrow
0000-0001-8583-6613,,LLAMA: Efficient Graph Analytics Using Large Multiversioned Arrays,graphs llama snapshotting vertex data memory edge page table systems performance design array csr contain requirement lists representations adjacencies sizes updated stored deletions increment large implementations loading vertices supporting writes
0000-0002-4471-2363,,Entangled Queries: Enabling Declarative Data-Driven Coordination,query coordinate answered sets declarativity data kramer databases user flights entangled level joint problems relational section formally constraint jerry useful tions reservation results require conditions selected allows generating language tuple
0000-0002-0752-9877,,Automatic Discovery of Attributes in Relational Databases,column distribution emds customer attribute relationship differ value schemas containment data comments definitions naming orders base clusters uses similarity related database section table keys figures algorithm viewing nationkey semantic works
0000-0002-8929-2366,,Queries with Guarded Negation Vince Ba,query formula negations guards problem relation operators theorem sql completeness form tion expressible contained second complexity arity condition specific follow use result names translations order fix gnfo general equivalences fragments
0000-0001-5663-6129,,Query-Based Why-Not Provenance with NedExplain ,queries data tuple attributes definition algorithms results wrt operators typed relation joining nedexplain instances successor example tions answering given values provenance missing compatibility analysis predicates let questions subquery based details
0000-0002-9623-9133,,Exact and Approximate Algorithms for Finding k-Shortest Paths with Limited Overlap,path algorithm alternatives multipass onepass prune ing roads similarity edge resulting lemma method networks queries computed considering let large sim updates based penalty example work runs overlaps scenario lines
0000-0002-6101-900X,,COP: Planning Conflicts for Faster Parallel Transactional Machine Learning,algorithms transaction learned machines data execute workers perform models versioned plans locks occ datasets processes iteratively parameter cop operations consist parallelizing compute serially serializable set conflict typical different concurrently reading
0000-0002-7117-6404,,Reconstruction Privacy: Enabling Statistical Learning,privacy data records values sensitivity attributes perturb noise answer distributions considering queries database large engineers methods probability contribution conf ans correlation follows disclosure learns small let prof generally example corollary
0000-0001-7770-2834,,Scalable Skyline Computation Using Object-based Space Partitioning,skylines partitioned objective indexed dominating tree data sorting based compute dimensionality section algorithm number phones dataset memory access osp domain operate orders recursive preferences efficient point sizes limit definitions databases
0000-0002-5586-1997,,Maritime Data Integration and Analysis:  Recent Progress and Research Challenges,data maritime informed integrate vessel processes challenge timely streams ais uncertainty event levels source recently trajectory operator specific detected systems semantics models analytical multi query databases domains temporal analysis supported
0000-0003-4573-0114,,Grid-Index Algorithm for Reverse Rank Queries,querying algorithms products data ranked reverse grids value figure costs scans rrq vectors section pointed users lines performed dimensionality filtering rnk processes approach ings computing com times efficiency
0000-0001-6060-6352,,Efficient Sample Generation for Scalable Meta Learning,sampled row generates data distributed algorithm learned randomize matrix model partition grouping machines efficiency trained parallelism example functionality emails second processes supported phase sets meta performance requiring technique input
0000-0003-2715-7107,,CorrectDB: SQL Engine with Practical Query Authentication,querying data tuples providing updated client servers resulting nodes added signature trees scpus exists solutions based correctdb costing securely trust sign approach mht sections authenticate aggregate keys required operations database
0000-0003-2005-9061,,Fine-Grained Controversy Detection in Wikipedia,editing controversial content page wikipedia user identified data entry known changed author different semantics informed issue algorithms modeled tokenized clustering deleting definitions based collaboration version values substitution news techniques detect
0000-0003-2106-3134,,Relational Approach for Shortest Path Discovery over Large Graphs,graph node sqls data oper paths query searching related functionality iteratively shortest rdb algorithms edge nid listing result statements costs bases aggregation generally set key database mid framework select processing
0000-0002-7470-2123,,Spatial Data Management Challenges in the Simulation Sciences,simulating spatially indexed query data updat element modeled computations need memory tion intersecting performance time changing research massively execute efficiently sizes partition ings approach disk material tested challenge resolution
0000-0001-9252-2495,,Similarity Search on Spatio-Textual Point Sets,similarities users object querying textually spatially algorithm joined matches set index spatio base efficiency pair difference approach ppj thresholds searching cell locations work points evaluating stpsjoin information study distance given
0000-0002-4538-4752,,Recsplorer: Recommendation Algorithms Based on Precedence Mining,recommending users courses item transcript useful algorithm based example temporality precede information predicting evalu rating filtering systems differs pattern modeling students work problems ing purchase mined relation commercial given liked
0000-0003-4233-3543,,Temporal Spatial-Keyword Top-k Publish/Subscribe,queries object scoring resulting spatial base geo texts located example tweet new follows indexed ranking time cells regions processed groups simultaneously relevancy user information cirs definition approach task corresponding conditions
0000-0001-8759-462X,,False Rumors Detection on Sina Weibo by Propagation Structures,user messages features reposting false normalize follower propagation rumor word kernels trees based weibo figure skin times information nodes resulting people news structure fig types labels beetles graphs data topic
0000-0003-3122-7518,,Nearest Neighborhood Search in Spatial Databases,queries problems nearest point nec algorithms basically cluster circles secs spatial lemmas nnh locations distance neighborhoods times process regions search based following setting lines retrieving given mobile index solution uniquely
0000-0002-2164-9752,,Query Optimization over Cloud Data Market,data queries plans accessing optimizing joined payless markets figures rest datasets section weather like theorems binds costing local tions transactions resulting size setting retrieving values sql including subtrees temperature stations
0000-0002-2521-5011,,Slowing the Firehose: Multi-Dimensional Diversity on Social Post Streams,posted user authored time content streaming similarity social differ distances simhash twitter problems clique diversity tion performed figure data algorithmic tweet dimension new texts efficiency redundant based cover microblog section
0000-0002-6431-5242,,Leveraging Bitmap Indexing for Subgraph Searching,graphs querying index bitmaps cti algorithms databases feature ggsx stages size fingerprint path techniques time dataset containing performs trie nodes subgraph difference figure obtained new large edge method ftv structures
0000-0002-7719-8938,,Scalable Public Transportation Queries on the Database,labelling query hubs working databases vertex tables knn network graphs public sql ptldb ttl time applications different solution algorithm timetables ing latest answered transport tuples com timestamps distance multiple makes
0000-0002-7264-8821,http://dx.doi.org/10.1145/2588555.2593677.,An Application-Specific Instruction Set for Accelerating Set-Oriented Database Primitives,instructions processors setting unit memories performing sorted core databases queries oper figure registers applications value data merge requirements hardware simd differ developer multiple caches customizable optimization extensively access like specific
0000-0002-2274-6837,,M3R: Increased Performance for In-Memory Hadoop Jobs,reducing job performs hadoop data mapping outputs engines running hmr keys inputs values new node multiplication memory required apis files section locally shuffle base partitions serialize mapper uses implementations compute
0000-0002-9309-4899,,Extending Cross-Domain Knowledge Bases with Long Tail Entities using Web Table Data,tables clusterer instance classes value rows matches player based song property label new web method exists data settlement similarities numbers knowledge attributes entity typing matchers approaches schema scores cross dbpedia
0000-0002-1790-6357,,STREAMCUBE: Hierarchical Spatio-temporal Hashtag Clustering for Event Exploration over the Twitter Stream,hashtags events clustered tweets time difference user cubes base data regions algorithms new working similar twitter line rank merges methods granularity levels result space given explore bursting aggregating information
